BioCycID	Metabolites	B_thuringiensis_70323_A	B_thuringiensis_70323_B	B_thuringiensis_70323_C	B_thuringiensis_70323_D	B_toyonensis_70323_A	B_toyonensis_70323_B	B_toyonensis_70323_C	B_toyonensis_70323_D	B4UZN_Ctrl_70323_A	B4UZN_Ctrl_70323_B	B4UZN_Ctrl_70323_C	B4UZN_Ctrl_70323_D	B4UZN_Ctrl_70323_E	C_flaccumfaciens_70323_A	C_flaccumfaciens_70323_B	C_flaccumfaciens_70323_C	C_flaccumfaciens_70323_D	Microbacterium_70323_A	Microbacterium_70323_B	Microbacterium_70323_C	Microbacterium_70323_D_and_E	R_qingshengii_70323_A	R_qingshengii_70323_C	R_qingshengii_70323_D	Shared_metab_70323_A	Shared_metab_70323_B	Shared_metab_70323_C	Shared_metab_70323_D	Shared_metab_70323_E
CPD-16942	Levulinic acid_HILNeg	23.12394019	23.17408165	23.19390692	23.17269177	23.23938127	23.10897927	23.22030784	23.23711263	21.55596949	22.03475271	21.39272694	21.89766909	21.95116559	23.63951397	23.4686913	22.96924082	23.39468183	23.31414547	23.37595462	23.3005589	23.21425382	23.11875846	23.37029766	23.05971882	23.16501592	23.16415428	23.22122473	23.42433296	23.04777893
 CPD0-2053	Levulinic acid_HILNeg	23.12394019	23.17408165	23.19390692	23.17269177	23.23938127	23.10897927	23.22030784	23.23711263	21.55596949	22.03475271	21.39272694	21.89766909	21.95116559	23.63951397	23.4686913	22.96924082	23.39468183	23.31414547	23.37595462	23.3005589	23.21425382	23.11875846	23.37029766	23.05971882	23.16501592	23.16415428	23.22122473	23.42433296	23.04777893
LYS	Lysine_HILNeg	28.57441706	28.74945806	28.76852014	28.63898692	28.57244146	28.34791843	28.98670529	28.68090057	28.61722486	28.43976904	28.22388521	28.33172401	28.60398313	28.70207314	28.83513466	28.45077495	28.72297391	28.52702686	28.64953614	28.55361199	28.47849063	28.38398872	28.60639104	28.51428347	28.64164825	28.60197807	28.65119794	28.63697264	28.57955061
 CPD-10661	Lysine_HILNeg	28.57441706	28.74945806	28.76852014	28.63898692	28.57244146	28.34791843	28.98670529	28.68090057	28.61722486	28.43976904	28.22388521	28.33172401	28.60398313	28.70207314	28.83513466	28.45077495	28.72297391	28.52702686	28.64953614	28.55361199	28.47849063	28.38398872	28.60639104	28.51428347	28.64164825	28.60197807	28.65119794	28.63697264	28.57955061
CPD-23483	Monobutyl phthalate_HILNeg	24.64991281	24.68623833	24.53102238	24.66455765	24.62058442	23.91427239	24.69693952	24.85075378	17.15976315	17.82726841	14.98949336	18.64067295	18.93240944	24.62584258	24.84938306	23.7584051	24.81533386	24.80870206	24.74535255	24.5665822	24.75167884	24.59515545	24.75587027	24.67690408	24.791935	24.66268311	24.78440706	25.12729901	24.59711104
 CPD-9875	Monobutyl phthalate_HILNeg	24.64991281	24.68623833	24.53102238	24.66455765	24.62058442	23.91427239	24.69693952	24.85075378	17.15976315	17.82726841	14.98949336	18.64067295	18.93240944	24.62584258	24.84938306	23.7584051	24.81533386	24.80870206	24.74535255	24.5665822	24.75167884	24.59515545	24.75587027	24.67690408	24.791935	24.66268311	24.78440706	25.12729901	24.59711104
3-DE-H-CARNITINE	N-Acetyl-valine_HILNeg	25.54100412	25.52428113	25.53953251	23.82355661	24.94677523	23.2918614	25.17754429	25.15334255	19.6877814	20.20203283	19.41266044	19.69260648	20.6472639	25.46272051	26.10959819	26.2586621	25.25497945	24.41289717	25.42876207	25.24012284	24.41721926	25.11751977	25.91546489	25.12381415	25.17181432	25.1212597	25.28222098	24.43289916	25.14631317
 CPD-17183	N-Acetyl-valine_HILNeg	25.54100412	25.52428113	25.53953251	23.82355661	24.94677523	23.2918614	25.17754429	25.15334255	19.6877814	20.20203283	19.41266044	19.69260648	20.6472639	25.46272051	26.10959819	26.2586621	25.25497945	24.41289717	25.42876207	25.24012284	24.41721926	25.11751977	25.91546489	25.12381415	25.17181432	25.1212597	25.28222098	24.43289916	25.14631317
 CPD0-1641	N-Acetyl-valine_HILNeg	25.54100412	25.52428113	25.53953251	23.82355661	24.94677523	23.2918614	25.17754429	25.15334255	19.6877814	20.20203283	19.41266044	19.69260648	20.6472639	25.46272051	26.10959819	26.2586621	25.25497945	24.41289717	25.42876207	25.24012284	24.41721926	25.11751977	25.91546489	25.12381415	25.17181432	25.1212597	25.28222098	24.43289916	25.14631317
 CPD-17184	N-Acetyl-valine_HILNeg	25.54100412	25.52428113	25.53953251	23.82355661	24.94677523	23.2918614	25.17754429	25.15334255	19.6877814	20.20203283	19.41266044	19.69260648	20.6472639	25.46272051	26.10959819	26.2586621	25.25497945	24.41289717	25.42876207	25.24012284	24.41721926	25.11751977	25.91546489	25.12381415	25.17181432	25.1212597	25.28222098	24.43289916	25.14631317
